date,weekday,money_in_rm,in_txn_count,money_out_rm,out_txn_count,net_flow_rm,large_outflow_rm,has_large_outflow
2026-03-08,Sunday,268.69,18,136.13,2,132.56,0.0,False
2026-03-09,Monday,449.71,23,1748.38,2,-1298.67,0.0,False
2026-03-10,Tuesday,437.95,23,48.85,1,389.1,0.0,False
2026-03-11,Wednesday,506.3,31,0.0,0,506.3,0.0,False
2026-03-12,Thursday,560.52,23,0.0,0,560.52,0.0,False
2026-03-13,Friday,831.06,39,86.01,1,745.05,0.0,False
2026-03-14,Saturday,983.05,57,0.0,0,983.05,0.0,False
2026-03-15,Sunday,282.96,12,0.0,0,282.96,0.0,False
2026-03-16,Monday,502.28,24,75.89,1,426.39,0.0,False
2026-03-17,Tuesday,489.3,23,1929.08,2,-1439.78,1877.45,True
2026-03-18,Wednesday,566.87,24,93.51,1,473.36,0.0,False
2026-03-19,Thursday,726.62,33,0.0,0,726.62,0.0,False
2026-03-20,Friday,720.81,30,126.41,2,594.4,0.0,False
2026-03-21,Saturday,1010.58,58,86.73,1,923.85,0.0,False
2026-03-22,Sunday,280.93,16,0.0,0,280.93,0.0,False
2026-03-23,Monday,462.18,23,71.01,1,391.17,0.0,False
2026-03-24,Tuesday,489.45,33,0.0,0,489.45,0.0,False
2026-03-25,Wednesday,568.32,25,1958.14,2,-1389.82,1904.64,True
2026-03-26,Thursday,720.91,40,71.19,2,649.72,0.0,False
2026-03-27,Friday,971.57,58,0.0,0,971.57,0.0,False
2026-03-28,Saturday,1173.33,53,0.0,0,1173.33,0.0,False
2026-03-29,Sunday,305.47,18,85.22,2,220.25,0.0,False
2026-03-30,Monday,549.03,31,46.26,1,502.77,0.0,False
2026-03-31,Tuesday,534.8,33,34.31,1,500.49,0.0,False
2026-04-01,Wednesday,606.53,33,83.68,1,522.85,0.0,False
2026-04-02,Thursday,624.54,31,1942.4,1,-1317.86,1942.4,True
2026-04-03,Friday,826.17,54,75.41,1,750.76,0.0,False
2026-04-04,Saturday,983.9,52,0.0,0,983.9,0.0,False
2026-04-05,Sunday,283.95,14,0.0,0,283.95,0.0,False
2026-04-06,Monday,476.97,21,34.49,1,442.48,0.0,False
2026-04-07,Tuesday,480.69,23,0.0,0,480.69,0.0,False
2026-04-08,Wednesday,576.66,28,0.0,0,576.66,0.0,False
2026-04-09,Thursday,655.32,42,26.72,1,628.6,0.0,False
2026-04-10,Friday,811.79,49,2115.44,1,-1303.65,2115.44,True
2026-04-11,Saturday,1186.31,64,0.0,0,1186.31,0.0,False
2026-04-12,Sunday,360.73,15,0.0,0,360.73,0.0,False
2026-04-13,Monday,530.14,31,93.55,1,436.59,0.0,False
2026-04-14,Tuesday,535.34,30,0.0,0,535.34,0.0,False
2026-04-15,Wednesday,564.48,35,50.05,1,514.43,0.0,False
2026-04-16,Thursday,708.8,34,0.0,0,708.8,0.0,False
2026-04-17,Friday,1003.15,64,80.07,1,923.08,0.0,False
2026-04-18,Saturday,1090.76,76,1711.79,1,-621.03,1711.79,True
2026-04-19,Sunday,342.33,23,48.78,1,293.55,0.0,False
2026-04-20,Monday,545.74,26,47.92,1,497.82,0.0,False
2026-04-21,Tuesday,561.22,35,0.0,0,561.22,0.0,False
2026-04-22,Wednesday,583.52,35,0.0,0,583.52,0.0,False
2026-04-23,Thursday,654.84,29,17.61,1,637.23,0.0,False
2026-04-24,Friday,989.66,42,64.15,1,925.51,0.0,False
2026-04-25,Saturday,1316.38,75,0.0,0,1316.38,0.0,False
